technique,context_length,model,cache_size,rerank,cite,rag_nq,rag_hotpotqa,niah,recall_jsonkv,summ_multilex,icl_clinic,icl_banking
INT8,16k,Yarn-Qwen3-8B,default,15.82341376,15.871937024,16.23427584,15.89617408,15.081429504,14.504339456,15.259104768,15.243238912,14.870646272
baseline,32k,DeepSeek-R1-Distill-Qwen-7B,default,21.805910016,22.012104192,22.399813632,21.992527872,15.268233216,21.393682432,21.206651392,21.264950272,21.17501184
INT4,32k,DeepSeek-R1-Distill-Qwen-7B,default,12.13051392,12.336078336,12.724417536,12.317131776,7.488769024,11.718286336,11.530371584,11.589554176,11.499546112
INT8,32k,DeepSeek-R1-Distill-Qwen-7B,default,19.391236608,19.651853312,20.178796032,19.603278336,9.061541376,17.639399936,18.37508608,18.244332544,17.982998528
baseline,32k,Qwen3-8B-thinking,default,24.721685504,24.987526656,25.457683456,24.971615232,21.31218944,24.201212928,23.966329344,23.985671168,23.872610816
INT4,32k,Qwen3-8B-thinking,default,14.417711104,14.683552256,15.15167744,14.665740288,11.00821504,13.895845888,13.662354944,13.681696768,13.56856576
INT8,32k,Qwen3-8B-thinking,default,20.93157888,21.361328128,21.863330816,21.30715904,14.398005248,19.174460928,19.871085056,19.878019072,19.42931712
baseline,32k,Qwen2.5-7B-Instruct,default,21.805711872,21.778735104,21.919724544,21.790800896,21.159548928,21.393485312,21.266579968,21.264751104,21.174810624
INT4,32k,Qwen2.5-7B-Instruct,default,12.130315776,12.10242048,12.2436352,12.112390144,11.484152832,11.718089216,11.591183872,11.589355008,11.499343872
INT8,32k,Qwen2.5-7B-Instruct,default,19.11783936,19.5896448,19.545718784,19.750426624,18.530884096,17.68694528,18.383214592,18.091308032,17.642995712
baseline,32k,Llama-3.1-8B-Instruct,default,23.658804736,23.956002304,24.168352256,23.88888064,23.422655488,21.743963136,23.326219264,23.100025856,23.100025856
INT4,32k,Llama-3.1-8B-Instruct,default,13.303429632,13.6006272,13.81182208,13.533308928,13.067858432,11.387580416,12.970360832,12.74391552,12.74391552
INT8,32k,Llama-3.1-8B-Instruct,default,18.596617216,18.973151744,19.195464192,18.86539008,18.310976512,16.179976704,18.170774016,17.835782656,17.835782656
baseline,32k,Yarn-Qwen3-8B-thinking,default,24.721685504,24.987526656,25.457683456,24.971615232,21.785974272,24.201212928,23.966329344,23.985671168,23.872610816
INT4,32k,Yarn-Qwen3-8B-thinking,default,14.417711104,14.683552256,15.15167744,14.665740288,11.481016832,13.895845888,13.660339712,13.681696768,13.56856576
INT8,32k,Yarn-Qwen3-8B-thinking,default,20.929056768,21.356234752,21.865436672,21.30969088,14.868160512,19.182216704,19.873369088,19.889027072,19.43788032
baseline,32k,Qwen3-8B-nothinking,default,24.721685504,24.987526656,25.457683456,24.971615232,21.31218944,24.201212928,23.966329344,23.985671168,23.872610816
